date,game,team,scorer,assist_1,assist_2,type,period_time,notes
2026-03-26,NJD vs NSH,NJD,Meier,,,EN,G6,
2026-03-26,NJD vs NSH,NSH,Schaefer,Svechkov,,ES,G3,Breakaway
2026-03-26,NJD vs NSH,NSH,Stamkos,,,ES,G4,Backhand; tied 2-2
2026-03-26,PIT vs OTT,OTT,Batherson,Stützle,,PP,G1,Stützle 400th career pt
2026-03-26,PIT vs OTT,OTT,Cousins,,,ES,G2,
2026-03-26,PIT vs OTT,OTT,Batherson,,,ES,G4,2nd goal
2026-03-26,PIT vs OTT,PIT,Rakell,Letang,,ES,G3,Crosby left P2 w/ injury
2026-03-26,PIT vs OTT,PIT,Rakell,Karlsson,,PP,G5,Rakell 2nd goal
2026-03-26,PIT vs OTT,PIT,Kindel,,,SO,G6,SO winner
2026-03-26,SEA vs TBL,SEA,Savoie,McMann,,ES,G1,
2026-03-26,SEA vs TBL,SEA,Kakko,,,ES,G3,
2026-03-26,SEA vs TBL,SEA,McMann,Kakko,,ES,G5,
2026-03-26,SEA vs TBL,SEA,Montour,,,OT,G7-OT,OTG
2026-03-26,SEA vs TBL,TBL,Cirelli,,,ES,G2,
2026-03-26,SEA vs TBL,TBL,Perry,D'Astous,,PP,G4,
2026-03-26,SEA vs TBL,TBL,Guentzel,D'Astous,,ES,G6,Guentzel 300th career G
2026-03-26,SJS vs STL,SJS,Wennberg,,,ES,G1,
2026-03-26,SJS vs STL,STL,Dvorsky,Holloway,Snuggerud,ES,G2,
2026-03-26,SJS vs STL,STL,Holloway,Thomas,,OT,G3-OT,Holloway winner 3s left
2026-03-26,WSH vs UTA,UTA,Guenther,Keller,Sergachev,ES,G2,Keller 3A night
2026-03-26,WSH vs UTA,UTA,Guenther,Keller,Sergachev,PP,G5,Keller+Sergachev PP chain
2026-03-26,WSH vs UTA,UTA,Cooley,,,ES,G9,
2026-03-26,WSH vs UTA,WSH,Ovechkin,Strome,,PP,G1,Hat trick goal 1
2026-03-26,WSH vs UTA,WSH,Chychrun,,,PP,G10,
2026-03-26,WSH vs UTA,WSH,Ovechkin,,,PP,G3,Hat trick goal 2
2026-03-26,WSH vs UTA,WSH,Miroshnichenko,,,ES,G4,First 2-goal NHL game
2026-03-26,WSH vs UTA,WSH,Ovechkin,,,ES,G6,Hat trick; 34th career
2026-03-26,WSH vs UTA,WSH,Beauvillier,Sandin,,ES,G7,
2026-03-26,WSH vs UTA,WSH,Miroshnichenko,,,ES,G8,2nd goal
2026-03-27,CHI vs NYR,CHI,Lardis,Bertuzzi,Vlasic,ES,G1,Vlasic toe-drag; Bertuzzi fed Lardis across crease
2026-03-27,CHI vs NYR,NYR,Miller,Sheary,,ES,G2,Sheary threw it in front; deflected off skate
2026-03-27,CHI vs NYR,NYR,Robertson,Miller,,ES,G3,Miller shot stopped; Robertson rebound
2026-03-27,CHI vs NYR,NYR,Sykora (1st NHL G),Cuylle,,ES,G4,2-on-1; Sykora wrist shot
2026-03-27,CHI vs NYR,NYR,Brodzinski (1),,,ES,G5,One-timer left circle
2026-03-27,CHI vs NYR,NYR,Lafreniere (PPG),Fox,,PP,G6,Redirect of Fox shot from point
2026-03-27,CHI vs NYR,NYR,Brodzinski (2),Fortescue,,ES,G7,Fortescue NHL debut assist
2026-03-27,DET vs BUF,BUF,Thompson (400pts),Krebs,,ES,G4,Krebs cross-ice feed; Thompson one-timer 5-hole
2026-03-27,DET vs BUF,BUF,Dahlin,Byram,,ES,G6,Byram blocked one-timer; Dahlin loose puck
2026-03-27,DET vs BUF,DET,DeBrincat (PPG),Seider,,PP,G1,Norris HS penalty; DeBrincat chip over Lyon
2026-03-27,DET vs BUF,DET,Raymond (PPG),Seider,,PP,G2,Stanley interference; Seider A1 batted puck at point
2026-03-27,DET vs BUF,DET,Kasper,Finnie,,ES,G3,Finnie 2 shots blocked; passed to Kasper
2026-03-27,DET vs BUF,DET,Bernard-Docker,,,ES,G5,First career goal; top of left circle
2026-03-27,DET vs BUF,DET,Kane (EN),,,EN,G7,Empty netter for 5-2 final
2026-03-28,ANA vs EDM,ANA,Sennecke,,,ES,G2,Unassisted
2026-03-28,ANA vs EDM,ANA,Gauthier,,,ES,G4,Unassisted
2026-03-28,ANA vs EDM,EDM,Savoie,McDavid,,ES,G1,McDavid A1
2026-03-28,ANA vs EDM,EDM,Hyman,McDavid,,ES,G3,McDavid A1; strip and score
2026-03-28,ANA vs EDM,EDM,McDavid,,,ES,G5,Unassisted goal
2026-03-28,ANA vs EDM,EDM,Roslovic,Bouchard,,ES,G6,Bouchard A1 (2A night)
2026-03-28,DAL vs PIT,DAL,Hryckowian,,,ES,G2,Loose puck right circle
2026-03-28,DAL vs PIT,DAL,Robertson,Rantanen,,PP,G4,Rantanen feed; Robertson 40th G
2026-03-28,DAL vs PIT,DAL,Rantanen,Robertson,,PP,G5,Robertson cross-ice; Rantanen one-timer
2026-03-28,DAL vs PIT,DAL,Bichsel,,,ES,G6,Point shot 4-2
2026-03-28,DAL vs PIT,DAL,Bourque,,,EN,G8,EN 5-3
2026-03-28,DAL vs PIT,DAL,Bourque,,,EN,G9,EN 6-3 final
2026-03-28,DAL vs PIT,PIT,Mantha,Karlsson,,PP,G1,Karlsson point; Mantha tip
2026-03-28,DAL vs PIT,PIT,Karlsson,,,ES,G3,Wrist shot bar-down 2-1
2026-03-28,DAL vs PIT,PIT,Acciari,Soderblom,,PP,G7,Deflection; Soderblom shot
2026-03-28,FLA vs NYI,FLA,M.Tkachuk,,,ES,G1,Breakaway at 8:06
2026-03-28,FLA vs NYI,FLA,M.Tkachuk,Mayfield,,ES,G2,Between legs top-shelf; Palat/Mayfield collision
2026-03-28,FLA vs NYI,NYI,Gatcomb,,,ES,G3,Rush; banked off Tarasov glove
2026-03-28,FLA vs NYI,NYI,Schenn,Schaefer,,ES,G4,Breakaway glove side; Schaefer A1
2026-03-28,FLA vs NYI,NYI,Holmstrom,Schaefer,,PP,G5,PPG screened; Schaefer A on play
2026-03-28,FLA vs NYI,NYI,Heineman,Lee,,ES,G6,Lee cross-ice feed; Heineman one-timer
2026-03-28,FLA vs NYI,NYI,Cizikas,Gatcomb,,ES,G7,Rebound from crease; Gatcomb A1
2026-03-28,MIN vs BOS,BOS,Peeke,,,ES,P1 1:01,wrist right circle
2026-03-28,MIN vs BOS,BOS,Zacha,Mittelstadt,Arvidsson,ES,P1,2-on-1; Mittelstadt A1
2026-03-28,MIN vs BOS,BOS,Arvidsson,Pastrnak,H.Lindholm,ES,P2,Pastrnak A1; Arvidsson one-timer off crossbar
2026-03-28,MIN vs BOS,BOS,E.Lindholm,,,ES,P3,Rebound doorstep 4-1
2026-03-28,MIN vs BOS,BOS,Zacha,Mittelstadt,,ES,P3,Redirection; Mittelstadt A1
2026-03-28,MIN vs BOS,BOS,E.Lindholm,,,EN,P3,EN 6-3
2026-03-28,MIN vs BOS,MIN,Kaprizov,,,ES,P2,Snap shot left circle; 3-1 cut
2026-03-28,MIN vs BOS,MIN,Zuccarello,Hughes,,PP,P2,5-on-3 PPG; Hughes A1
2026-03-28,MIN vs BOS,MIN,Hartman,,,ES,P3,Batted own rebound 4-3
2026-03-28,MTL vs NSH,MTL,Demidov,Newhook,Kapanen,ES,P1 11:34,Hits post; Newhook A1
2026-03-28,MTL vs NSH,MTL,Caufield,Suzuki,Hutson,ES,P1,Caufield 45th G! Forced Marchessault TO; Suzuki A1
2026-03-28,MTL vs NSH,MTL,Newhook,Demidov,Kapanen,ES,P1 16:23,Demidov A1; Kapanen A2
2026-03-28,MTL vs NSH,NSH,L'Heureux,,,ES,P3 16:26,Lucky bounce off glass
2026-03-28,NJD vs CAR,CAR,Ehlers,Nikishin,,PP,G2,Snap shot off bar in
2026-03-28,NJD vs CAR,CAR,Blake,,,ES,G3,Stick-handled around Siegenthaler
2026-03-28,NJD vs CAR,CAR,Staal,Ehlers,,ES,G4,Ehlers pass right board; Staal redirect
2026-03-28,NJD vs CAR,CAR,Gostisbehere,Hall,Ehlers,ES,G5,Hall A1; Ehlers A2
2026-03-28,NJD vs CAR,CAR,Jarvis,,,ES,G7,Insurance
2026-03-28,NJD vs CAR,NJD,Meier,Hischier,Mercer,ES,G1,Mercer stretch pass; Hischier fed Meier
2026-03-28,NJD vs CAR,NJD,Dadonov,,,ES,G6,Unassisted
2026-03-28,OTT vs TBL,OTT,Cozens,,,ES,P1 0:18,18 seconds in; wrister five-hole
2026-03-28,OTT vs TBL,OTT,Spence,Cousins,,ES,P1,Rebound off Vasilevskiy sprawl
2026-03-28,OTT vs TBL,TBL,Hagel,D'Astous,,ES,P2,D'Astous dug puck goalline; Hagel chip
2026-03-28,OTT vs TBL,TBL,D'Astous,Gourde,,ES,P2,Above hash marks; Gourde A1
2026-03-28,OTT vs TBL,TBL,Lilleberg,Hagel,,ES,P2,3-on-2 rush backhand go-ahead
2026-03-28,OTT vs TBL,TBL,Guentzel,Perry,,ES,P3,Breakaway; Perry start pass
2026-03-28,SEA vs BUF,BUF,Dahlin,Thompson,Quinn,PP,G3,Dahlin 100th career G; Thompson A1; Quinn A2
2026-03-28,SEA vs BUF,BUF,Krebs,Benson,,ES,P3 11:39,Benson stole pass; Krebs snap
2026-03-28,SEA vs BUF,BUF,Thompson,,,SO,SO,Shootout goal 1
2026-03-28,SEA vs BUF,BUF,Quinn,,,SO,SO,Dove over Grubauer; SO winner
2026-03-28,SEA vs BUF,SEA,Stephenson,McMann,Kakko,ES,P1 12:42,Kakko A2; Stephenson slot
2026-03-28,SEA vs BUF,SEA,McMann,Kakko,Stephenson,ES,P2 13:18,McMann breakaway
2026-03-28,SJS vs CBJ,CBJ,Mateychuk,Fantilli,,ES,P1 0:31,31s in; Fantilli pass; Mateychuk walked in
2026-03-28,SJS vs CBJ,CBJ,Sillinger,Provorov,,ES,P2,Provorov interception; Sillinger one-timer
2026-03-28,SJS vs CBJ,SJS,Chernyshov,Smith,,ES,G2,Neutral zone steal; Smith feed
2026-03-28,SJS vs CBJ,SJS,Celebrini,Orlov,Wennberg,PP,G4,Wennberg FO; Orlov to Celebrini one-timer
2026-03-28,SJS vs CBJ,SJS,Chernyshov,Smith,Celebrini,ES,G5,Celebrini zone entry; Smith cross-ice; GWG
2026-03-28,TOR vs STL,STL,Snuggerud,Thomas,,ES,G1,Thomas A1 feeds Snuggerud
2026-03-28,TOR vs STL,STL,Suter,Parayko,,PP,G3,PPG; Parayko QB at point
2026-03-28,TOR vs STL,STL,Holloway,Thomas,,ES,G4,Thomas A1; Holloway snap shot
2026-03-28,TOR vs STL,STL,Broberg,,,PP,G5,PPG from D position
2026-03-28,TOR vs STL,STL,Holl,,,ES,G6,Returning player goal
2026-03-28,TOR vs STL,TOR,Nylander,Rielly,,ES,G2,TOR lone goal; Rielly A1
2026-03-29,BOS@CBJ,BOS,McAvoy,Arvidsson,,ES,P3 6:29,BOS rally begins; wrist shot through screen
2026-03-29,BOS@CBJ,BOS,Zacha,McAvoy,Arvidsson,PP,P3 8:43,McAvoy point deflected by Zacha
2026-03-29,BOS@CBJ,BOS,Zacha,Arvidsson,,PP,P3 19:49,6-on-4; 11 sec left — tied 3-3! Pastrnak streak ends at 12
2026-03-29,BOS@CBJ,BOS,Minten,,,SO,SO R1,SO winner
2026-03-29,BOS@CBJ,BOS,Arvidsson,,,SO,SO,Deciding SO goal — Arvidsson wins it
2026-03-29,BOS@CBJ,CBJ,Jenner,,,ES,P1,CBJ 1-0
2026-03-29,BOS@CBJ,CBJ,Marchment,Marchenko,,ES,P1,CBJ 2-0; Marchenko 2A night
2026-03-29,BOS@CBJ,CBJ,Coyle,,,PP,P1,3-0 CBJ
2026-03-29,CHI@NJD,CHI,Bedard,,,PP,P1,Bedard PPG
2026-03-29,CHI@NJD,CHI,Nazar,,,ES,P2,Nazar rebound
2026-03-29,CHI@NJD,NJD,Brown,L.Hughes,,PP,P1,Brown deflects Luke Hughes shot
2026-03-29,CHI@NJD,NJD,Hischier,,,ES,P2,Hischier ties 2-2 (8-game pt streak)
2026-03-29,CHI@NJD,NJD,Mercer,J.Hughes,,PP,P3,Mercer PPG; Hughes A
2026-03-29,CHI@NJD,NJD,Meier,,,ES,P3,Meier EN — NJD 4 CHI 2
2026-03-29,DAL@PHI,DAL,Robertson,Johnston,,ES,P1/2,Robertson G41; Johnston A1
2026-03-29,DAL@PHI,DAL,Johnston,Heiskanen,,PP,P2,Johnston PPG G41; Heiskanen D-QB A1
2026-03-29,DAL@PHI,DAL,Rantanen,Robertson,,ES,P2,Rantanen G; Robertson A1; L1 chain overlap
2026-03-29,DAL@PHI,DAL,Bourque,,,EN,P3,EN #1
2026-03-29,DAL@PHI,DAL,Bourque,,,EN,P3,EN #2
2026-03-29,DAL@PHI,PHI,Michkov,Ristolainen,,PP,P3,Michkov PPG; Ristolainen D-QB A1
2026-03-29,FLA@NYR,FLA,Samoskevich,,,ES,P3,40.2 sec left; ended shutout bid
2026-03-29,FLA@NYR,NYR,Sykora,Fox,Laba,ES,P3 5:10,Tip-in; Fox shot; Shesterkin shutout bid
2026-03-29,FLA@NYR,NYR,Sheary,Miller,,SH,P3 11:14,Breakaway SHG
2026-03-29,FLA@NYR,NYR,Fox,,,EN,P3 16:06,EN goal
2026-03-29,MTL@CAR,CAR,Svechnikov,Jarvis,,PP,P1 8:37,One-timer right circle; Dobes 34 saves
2026-03-29,MTL@CAR,MTL,Suzuki,Caufield,Hutson,ES,P2 6:18,Rush; Caufield stretch pass from Hutson
2026-03-29,MTL@CAR,MTL,Caufield,Suzuki,Hutson,ES,P2 17:32,Suzuki pass → Caufield snap shot blocker side
2026-03-29,MTL@CAR,MTL,Suzuki,,,PP,P2 19:53,Rebound at crease; Suzuki 2G+A (91 pts)
2026-03-29,NSH@TBL,NSH,Kemell,Barron,Forsberg,ES,P2 11:29,Breakaway tripped in
2026-03-29,NSH@TBL,NSH,Forsberg,Svechkov,Wilsby,ES,P3 15:07,Double deflection 20s after Hagel G
2026-03-29,NSH@TBL,TBL,Guentzel,Raddysh,D'Astous,ES,P2 6:28,Raddysh point shot deflected
2026-03-29,NSH@TBL,TBL,Hagel,Guentzel,,ES,P3 15:27,
2026-03-29,NSH@TBL,TBL,Perry,Guentzel,Lilleberg,ES,P3 13:08,Loose puck net-front; Guentzel 3-pt game
2026-03-30,CGY@COL,CGY,Othmann,,,ES,,Debut goal 5-1
2026-03-30,CGY@COL,CGY,Strome,Sharangovich,,ES,,Sharangovich A1; chain overlap YES
2026-03-30,CGY@COL,COL,Drury,Kelly,,ES,,Drury opener 1-0
2026-03-30,CGY@COL,COL,Kadri,Makar,Nelson,PP,,Kadri PPG1; Makar QB A1; chain overlap YES
2026-03-30,CGY@COL,COL,Kadri,Makar,,PP,,Kadri PPG2; Makar QB again 3-0; chain overlap YES
2026-03-30,CGY@COL,COL,Kelly,Makar,,ES,,Kelly G Makar deflect
2026-03-30,CGY@COL,COL,Landeskog,MacKinnon,Nelson,ES,,MacKinnon A1 Landeskog G; chain overlap YES
2026-03-30,CGY@COL,COL,Lehkonen,MacKinnon,Drury,ES,,MacKinnon A1 Lehkonen G; 3rd MacKinnon assist; chain overlap YES
2026-03-30,CGY@COL,COL,MacKinnon,Makar,,PP,,MacKinnon PPG; Makar A1 one-timer feed; PREMIER chain YES
2026-03-30,CGY@COL,COL,Malinski,Kelly,,ES,,Malinski G Kelly A
2026-03-30,CGY@COL,COL,Necas,MacKinnon,Lehkonen,ES,,MacKinnon A1 Necas G; MacKinnon+Necas chain overlap YES
2026-03-30,PIT@NYI,NYI,Barzal,Ritchie,,ES,,Barzal+Schenn ELITE partial
2026-03-30,PIT@NYI,NYI,Lee,Boqvist,Boqvist,ES,,Boqvist+Lee PP LINK WIN YES
2026-03-30,PIT@NYI,NYI,Schenn,Barzal,Ritchie,ES,,Barzal A1 on Schenn G; ELITE chain overlap YES
2026-03-30,PIT@NYI,PIT,Hayes,Kindel,Brazeau,ES,,Brazeau 3rd assist
2026-03-30,PIT@NYI,PIT,Mantha,Wotherspoon,Brazeau,ES,,Mantha G1
2026-03-30,PIT@NYI,PIT,Rakell,Mantha,,ES,,Rakell G1; Mantha A1; chain overlap YES
2026-03-30,PIT@NYI,PIT,Rakell,Brazeau,Wotherspoon,ES,,2nd Rakell G
2026-03-30,PIT@NYI,PIT,Rust,Crosby,Letang,ES,,Crosby 1100th assist; 8-3 final; chain overlap YES
2026-03-30,PIT@NYI,PIT,Soderblom,Brazeau,Wotherspoon,ES,,Brazeau 3A game
2026-03-30,STL@SJS,SJS,Celebrini,Wennberg,,PP,,Celebrini 100th point PPG; Wennberg A; mutual chain YES
2026-03-30,STL@SJS,SJS,Celebrini,W.Smith,Toffoli,ES,,Celebrini 2nd G; W.Smith A; Celebrini+W.Smith chain YES
2026-03-30,STL@SJS,SJS,Gaudette,Ferraro,,ES,P3 19:38,Gaudette winner; 5-4 SJS walk-off
2026-03-30,STL@SJS,SJS,Wennberg,Celebrini,Toffoli,PP,,Wennberg PPG; Celebrini A1; mutual chain overlap YES
2026-03-30,STL@SJS,SJS,Wennberg,Toffoli,W.Smith,PP,,Wennberg 2nd PPG; W.Smith A2 YES
2026-03-30,STL@SJS,STL,Broberg,Mailloux,,PP,,Broberg PPG cuts to 4-3
2026-03-30,STL@SJS,STL,Buchnevich,Neighbours,,ES,,Neighbours A1 Buchnevich G; chain overlap YES
2026-03-30,STL@SJS,STL,Fowler,,,PP,,Fowler PPG ties 4-4
2026-03-30,STL@SJS,STL,Lindstein,,,ES,,Lindstein 1st NHL goal 1-0
